ofteco	kategorio	tipo	Usonangla radikvorto (Longe / sinonimo / alternativo) (tipo)	Longe / sinonimo / alternativo	EO preferata termino	fonto EO	fonto 2 EO	fonto 3 EO	fonto 4 EO	EO alternativo 1	fonto EO alternativo 1	fonto EO alternativo 2	EO alternativo 2	fonto EO alternativo 2	NL type	NL aanbevolen term	NL %	bron NL	alt 1 bron NL	alt 2 bron NL	NL alternatief	betrouwbare bron NL alt	FR type	FR terme conseillé	Accepté	source 1 FR conseillé	source 2 FR conseillé	source 3 FR conseillé	FR alternative	source FR alternative	PL tipo	Pola konsilinda termino	fonto PL konsilinda	PL alternativa termino	fonto PL alternativo
			maintenance contract (subst.) 		prizorga kontrakto	Maŭro				funkcitena kontrakto					het	onderhoudscontract																			
			maintenance task (subst.) 		prizorga tasko	Drupalo				funkcitena tasko																									
			maintenance   (subst.) 		prizorgado	Drupalo				funkciteno	TekVort																								
			major (adj.) 		ĉefa / cxefa	OOo																													
			major mode (subst.) 		ĉefreĝimo / cxefregximo	KompLeks	Aleksey Timin																												
			majuscular script (subst.) 		majusklo	KompLeks	Aleksey Timin																												
			make available (verbo) 		disponigi	Edmundo																													
			make changes (verbo) 		ŝanĝi / sxangxi	Maŭro										wijzigingen aanbrengen								modifier											
			make clickable (verbo) 		alklakebligi																														
			make   (verbo) 		munti	TekVort				krei																									
			makefile   (subst.) 		muntodosiero	TekVort																													
			make-table query (subst.) 		tabeliga informpeto											tabelmaakquery								requête Création de table								Tabellenerstellungsabfrage			
			malformed (adj.) 		misformita	Drupalo																													
			malfunction (subst.) 		paneo	KompLeks				misfunkcio	Bertin																								
			malicious (adj.) 		fia					malbonintenca	Drupalo																								
			malicious software (subst.) 		fiprogramaro											schadelijke software								logiciel malveillant								Malware			
			malicious user (subst.) 		fiuzanto					malbonintenca uzanto						kwaadwillende gebruiker								utilisateur malveillant								böswilliger Benutzer			
			malpractice (subst.) 		fineglekto																														
			malware (subst.) 		fiprogramaro					malica programaro						kwaadaardige software								programme malveillant								Malware			
			manage (verbo) 		administri	OOo																													
			managed content settings (subst.) 		mastrumenhava agordo											beheerde-inhoudinstellingen								propriétés des dossiers gérés								Einstellungen für verwaltete Inhalte			
			managed custom folder (subst.) 		mastrumata uzula dosierujo											beheerde aangepaste map								dossier personnalisé géré								verwalteter benutzerdefinierter Ordner			
			managed data (subst.) 		mastrumataj datumoj											beheerde gegevens								données managées								verwaltete Daten			
			managed default folder (subst.) 		mastrumata defaŭlta dosierujo / mastrumata defauxlta dosierujo											beheerde standaardmap								dossier par défaut géré								verwalteter Standardordner			
			managed folder (subst.) 		mastrumata dosierujo											beheerde map								dossier géré								verwalteter Ordner			
			managed volume (subst.) 		mastrumata portilo											beheerd volume								volume géré								verwaltetes Volume			
			management (subst.) 		administrado	KompLeks	Bertin																												
			management console (subst.) 		administra konzolo											beheerconsole								console de gestion								Verwaltungskonsole			
			management group (subst.) 		administra grupo											beheerdersgroep								groupe d'administration								Verwaltungsgruppe			
			management mode (subst.) 		administra reĝimo / administra regximo											beheerdersmodus								mode d'administration								Verwaltungsmodus			
			management system (subst.) 		administra sistemo											beheersysteem								système de gestion								Verwaltungssystem			
			manager (administrator) (subst.) 		administranto					mastrumanto																									
			manager (director) (subst.) 		direktoro																														
			manager (business) (subst.) 		manaĝero / managxero																														
			manager (admin tool) (subst.) 		administrilo					mastrumilo																									
			mandatory attribute (subst.) 		nepra atributo											verplicht kenmerk								attribut obligatoire								verbindliches Attribut			
			mandatory field (subst.) 		nepra kampo											verplicht veld								champ obligatoire								Pflichtfeld			
			mandatory parameter (subst.) 		nepra parametro	KompLeks										verplichte parameter								paramètre obligatoire								verbindlicher Parameter			
			mandatory user profile (subst.) 		nepra profilo de uzanto											verplicht gebruikersprofiel								profil utilisateur obligatoire								verbindliches Benutzerprofil			
			manifest constant (subst.) 		literalo	KompLeks	Aleksey Timin																												
			manifest file (subst.) 		manifesta dosiero																														
			manipulate (verbo) 		manipuli	Bertin																													
			manipulation (subst.) 		manipulado	Bertin																													
			mantissa (subst.) 		mantiso	ReVo	Bertin																												
			manual (adj.) 		mana	Bertin																													
			manual (subst.) 		manlibro	KompLeks									het	handboek	80%	VW			handleiding			manuel								manuell			
			manual announce (torrent) (subst.) 		permana konekto																														
			manual break (subst.) 		permana salto	OOo																													
			manual caching (subst.) 		permana kaŝmemorigo / permana kasxmemorigo											handmatig in cache opslaan								mise en cache manuelle								manuelles Zwischenspeichern			
			manual configuration (subst.) 		permana agordo											handmatige configuratie								configuration manuelle								Manuelle Konfiguration			
			manual control (subst.) 		mana regado	Bertin																													
			manual discount (subst.) 		mana rabato											handmatige korting								remise manuelle								manueller Rabatt			
			manual feed (subst.) 		permana paperenmeto	OOo																													
			manual page break (subst.) 		permana paĝosalto / permana pagxosalto											handmatig pagina-einde								saut de page manuel								manueller Seitenumbruch			
			manually (adj.) 		permane	OOo																													
			many-to-many dimension (subst.) 		plurplura dimensio																			dimension plusieurs à plusieurs								m:n-Dimension			
			many-to-many relationship (subst.) 		plur-al-plura rilato	Maŭro																										Viele-zu-Viele-Beziehung			
			man in the middle attack (subst.) 		kaŝa interkapto de komunikado / kasxa interkapto de komunikado																														
			map (verbo) 		mapigi	Drupalo										toewijzen	80%	ICT VNU			relateren aan			mapper								zuordnen			
			mapped data field (subst.) 		mapigita datumkampo											toegewezen gegevensveld								champ de données mappé								zugeordnetes Datenfeld			
			mapping (subst.) 		mapigo	Drupalo									de	toewijzing	80%	ICT VNU						mappage								Zuordnung			
			mapping structure (subst.) 		mapiga strukturo										de	toewijzingsstructuur																			
			mapping table (subst.) 		mapiga tabelo										de	toewijzingstabel					correspondentietabel	ICT VNU													
			margin (subst.) 		marĝeno / margxeno	OOo										marge								marge								Rand			
			margin guide (subst.) 		marĝena helplinio / margxena helplinio											margehulplijnen								repère de marge								äußere Führungslinie			
			mark (verbo) 		marki	ReVo	OOo	Abiword								markeren		Telenet																	
			marker (subst.) 		marko	ReVo	Bertin			indikilo					het	markeerteken								marqueur								Marker			
			markup (subst.) 		markado	KompLeks	TekVort																												
			markup balloon (subst.) 												de	opmaakballon								bulle de suivi de modifications								Markiersprechblase			
			markup container (subst.) 		markujo										de	opmaakcontainer																Markupcontainer			
			markup overlay (subst.) 																					superposition de marques de révision											
			marquee element (marquee tag) (subst.) 													lichtkrant								texte défilant											
			mask (verbo) 		maski	Bertin																													
			mask (subst.) 		masko	PIV2002	KompLeks																												
			mass edit mode (subst.) 		multopa redaktoreĝimo / multopa redaktoregximo	Wordpress																													
			mass storage device (subst.) 		amasmemorilo	Lode VDV									het	apparaat voor massaopslag								périphérique de stockage de masse								Massenspeichergerät			
			master (adj.) 		ĉefa / cxefa	KompLeks	OOo	Firefox							het																				
			master (PowerPoint) (subst.) 		modelo	OOo										model	80%																		
			master boot record (subst.) 		ĉefa ŝargodosiero / cxefa sxargodosiero	Lode VDV																													
			master computer (subst.) 		ĉefa komputilo / cxefa komputilo											hoofdcomputer																Mastercomputer			
			master document (subst.) 		ĉefa dokumento / cxefa dokumento	OOo										hoofddocument								document maître								Zentraldokument			
			master file (subst.) 		ĉefdosiero / cxefdosiero	KompLeks	TekVort								het	moederbestand	60%																		
			master index   (subst.) 		ĉefindekso / cxefindekso	TekVort				superindekso																									
			master installation (subst.) 		ĉefinstalado / cxefinstalado											hoofdinstallatie								installation originale								Masterinstallation			
			master key (subst.) 		ĉefa ŝlosilo / cxefa sxlosilo											hoofdsleutel								clé principale								Hauptschlüssel			
			master mode (subst.) 		modela reĝimo / modela regximo																														
			master page (subst.) 		ĉefpaĝo / cxefpagxo											hoofdpagina																			
			master password (subst.) 		ĉefa pasvorto / cxefa pasvorto	Firefox																													
			master planning (subst.) 		ĉefa planado / cxefa planado											hoofdplanning								planification générale								Produktprogrammplan			
			master scheduling (subst.) 		ĉefa planado / cxefa planado											hoofdplanning								calcul PDP/MRP								Produktprogrammplanungslauf			
			master server (subst.) 		ĉefa servilo / cxefa servilo											hoofdserver								serveur maître								Masterserver			
			master tape (subst.) 		ĉefbendo / cxefbendo																														
			match (subst.) 		kongruo																														
			match (query) (verbo) 		kongrui	KompLeks	ReVo	Drupalo	OOo							overeenkomen	100%	Microsoft																	
			match case (subst.) 		uskleca kongruo	OOo				atenti usklecon	ipernity	Bertilo																							
			match-all pattern (subst.) 		ĵokero / jxokero	KompLeks	Aleksey Timin																												
			mathematical programming (subst.) 		matematika programado	KompLeks	Aleksey Timin																												
			matrix (subst.) 		matrico	KompLeks	ReVo	TekVort								matrix								matrice								Matrix			
			matrix diagonalization (matrix diagonalisation) (subst.) 		diagonaligo de matrico	KompLeks	Aleksey Timin																												
			matrix organization (subst.) 		matrica organizaĵo / matrica organizajxo											matrixorganisatie								organisation matricielle								Matrix-Organisation			
			matrix printer (subst.) 		nadlara presilo					nadlara printilo																									
			matrix product (subst.) 		matrica multipliko	KompLeks	Aleksey Timin																												
			matrix unit (subst.) 		unuomatrico	KompLeks	Aleksey Timin																												
			mature content (subst.) 		enhavo por plenkreskuloj											inhoud voor volwassenen								contenu pour adultes								Potenziell anstößiger Inhalt			
			maximal (adj.) 		maksimuma	Bertin																													
			maximize (verbo) 		maksimumigi	OOo	KDE	Bertin								maximaliseren								agrandir								maximieren			
			Mbyte (mallon.) 		Mbajt	KompLeks	Aleksey Timin																												
			mean (mallon.) 		mezumo	KompLeks	Aleksey Timin																												
			measure unit (subst.) 		mezurunuo	OOo																													
			mechanism (subst.) 		mekanismo					meĥanismo	Bertin																								
			media (subst.) 		aŭdvidaĵo / auxdvidajxo																														
			media clip (subst.) 													mediaclip								clip multimédia											
			media conversion (subst.) 		medikonverto	Bertin																													
			media element (subst.) 		aŭdvidea elemento / auxdvidea elemento											media-element								élément multimédia								Medienelement			
			media file (subst.) 		aŭdvidea dosiero / auxdvidea dosiero											mediabestand								fichier multimédia								Mediendatei			
			media gateway (media to TV) (mediagateway) (subst.) 																																
			media information (subst.) 		prikomunikila informado											mediagegevens								informations sur le média								Medieninformationen			
			media object (subst.) 		aŭdvidea objekto / auxdvidea objekto	OOo																													
			media parser plug-in (subst.) 		plurkanala aldonaĵo / plurkanala aldonajxo											mediaparser								plug-in de lecture multimédia								Medienparser-Plug-In			
			media player (subst.) 		spektilo																Media Player														
			media server (subst.) 		aŭdvidea servilo / auxdvidea servilo											mediaserver								serveur multimédia								Medienserver			
			median (subst.) 		mediano	OOo										medium								média								mittel			
			medium (adj.) 		meza	OOo																													
			meeting (subst.) 		kunsido											vergadering								réunion								Besprechung			
			meeting request (subst.) 		peto pri kunsido											vergaderverzoek								demande de réunion								Besprechungsanfrage			
			meeting response (subst.) 		respondo pri kunsido											antwoord op vergaderverzoek								réponse à une demande de réunion								Antwort auf Besprechungsanfrage			
			megabyte (MB) (subst.) 		megabajto (Mbajt)	PIV2002	KompLeks	TekVort							de [m]	megabyte (MB)	100%	Taalunie						mégaoctet (Mo)								Megabyte			
			member (subst.) 		membro										het	lid								membre								Mitglied			
			membership relation (subst.) 		membrorilato	KompLeks	Aleksey Timin																												
			memorize (verbo) 		enmemorigi	Bertin																													
			memory (subst.) 		memoro	PIV2002	KompLeks	ReVo		memorilo	PIV				het	(interne) geheugen	100%	Stichting					une	mémoire											
			memory address (subst.) 		memoradreso											geheugenadres								adresse mémoire								Speicheradresse			
			memory allocation   (subst.) 		memorasignado					memorgenerado	Kompleks				de	geheugentoewijzing																			
			memory block (subst.) 		memorbloko	Bertin																													
			memory card (subst.) 		memorkarto	Lode VDV									de	geheugenkaart	80%	Stichting						carte de stockage								Speicherkarte			
			memory cartridge (subst.) 		memorkartoĉo / memorkartocxo	Maŭro										geheugencassette								cartouche mémoire											
			memory cell   (subst.) 		memorĉelo / memorcxelo	TekVort																													
			memory cycle   (subst.) 		memorcikla daŭro / memorcikla dauxro	TekVort																													
			memory hierarchy   (subst.) 		memorhierarkio	TekVort																													
			memory leak (subst.) 		memorlikado	ReVo										geheugenlekkage								fuite de mémoire											
			memory map (subst.) 		memormapo	Maŭro										geheugentoewijzing								carte mémoire								Speicherzuordnung			
			memory module (subst.) 		memormodulo	Lode VDV									de	geheugenbank																			
			memory pressure (subst.) 		memorŝarĝo / memorsxargxo										de	geheugenbelasting																			
			memory protection   (subst.) 		memorprotekto	TekVort																													
			memory size (subst.) 		memorkapacito	KompLeks	TekVort								de	geheugengrootte	100%																		
			memory stick (subst.) 		poŝmemorilo / posxmemorilo	Petro Desmet				memorbastoneto			datumportilo		de	geheugenstaafje	60%	Stichting																	
			memory usage (subst.) 		memoruzado	KDE										geheugengebruik								utilisation de la mémoire								Speicherauslastung			
			menu (subst.) 		menuo	PIV2002	KompLeks	ReVo	FEL						het	menu	100%	Microsoft			keuzemenu		un	menu								Menü			
			menu bar (subst.) 		menubreto					menutrabo	KompList		menuzono	KompLeks	de	menubalk	100%	Microsoft						barre de menus								Menüleiste			
			menu button (subst.) 		menubutono											menuknop								bouton de menu								Menüschaltfläche			
			menu command (subst.) 		menukomando											menuopdracht								commande de menu								Menübefehl			
			menu item (subst.) 		menuero	KompLeks	OOo	KompList							het	menuonderdeel																			
			menu label (subst.) 		menu-etikedo																											Menübeschriftung			
			merge (verbo) 		kunfandi	KompLeks	ReVo	OOo	TekVort	kunigi	Abiword					samenvoegen	100%	Microsoft	Stichting					fusionner								zusammenführen			
			merge field (subst.) 		kunfanda kampo											samenvoegveld								champ de fusion								Seriendruckfeld			
			merge operation (subst.) 		kunfanda operacio																			opération de fusion								Zusammenführungsvorgang			
			merge replication (subst.) 																					réplication de fusion								Mergereplikation			
			merged cell (subst.) 		kunfandita ĉelo / kunfandita cxelo											samengevoegde cel								cellule fusionnée								verbundene Zelle			
			merging (subst.) 		kunfando	Bertin				kunigo																									
			message (subst.) 		mesaĝo / mesagxo	KompLeks	OOo	TekVort							het	bericht	100%							message								Nachricht			
			message board (subst.) 		mesaĝtabulo / mesagxtabulo	Drupalo																													
			message board system (subst.) 		mesaĝtabula sistemo / mesagxtabula sistemo	Drupalo																													
			message body (subst.) 		mesaĝokorpo / mesagxokorpo																											Nachrichtentext			
			message box (subst.) 		dialogujo	KDE																													
			message class (subst.) 		mesaĝoklaso / mesagxoklaso											berichtklasse								classe de message								Nachrichtenklasse			
			message handler (subst.) 		mesaĝotraktilo / mesagxotraktilo										het	berichtenprogramma		Vlietstra						gestionnaire de messages								Meldungshandler			
			message header (subst.) 		mesaĝokapo / mesagxokapo											berichtkop								en-tête de message								Nachrichtenkopf			
			message item (subst.) 		mesaĝero / mesagxero											bericht-item								message 								Nachrichtenelement			
			message list (subst.) 		listo de mesaĝoj / listo de mesagxoj											berichtenlijst								liste de messages								Nachrichtenliste			
			message sink (subst.) 																					récepteur de messages								Nachrichtensenke			
			message storage (subst.) 		mesaĝa konservejo / mesagxa konservejo	OOo																													
			message trailer (subst.) 		mesaĝovosto / mesagxovosto																			code de fin du message								Meldungsnachspann			
			message type (subst.) 		tipo de mesaĝo / tipo de mesagxo											berichttype								type de message								Nachrichtentyp			
			meta data (metadata) (subst.) 		metadatumoj	KDE										metagegevens								métadonnées								Metadaten			
			meta-factor (subst.) 		metafaktoro	KompLeks	Aleksey Timin																												
			meta file (metafile) (subst.) 		metadosiero	OOo																													
			meta key  (metakey) (subst.) 		meta-klavo	TekVort	KDE																												
			meta language (metalanguage) (subst.) 		metalingvo	Bertin																													
			meta symbol (metasymbol) (subst.) 		metasimbolo	Bertin																													
			meta tag (metatag) (subst.) 		metamarko	Maŭro																													
			metadata database (subst.) 		datumbazo kun metadatumoj											databank van metagegevens								base de données de métadonnées								Metadaten-Datenbank			
			metadata publishing (subst.) 		publikigo de metadatumoj											publicatie van metagegevens								publication des métadonnées								Metadateneingabe			
			meta-expression  (meta expression) (subst.) 		metaesprimo	TekVort																													
			metamathematics (subst.) 		metamatematiko	KompLeks	Aleksey Timin																												
			metatheory (subst.) 		metateorio	KompLeks	Aleksey Timin																												
			meter (to meter) (verbo) 		nombri	KompLeks	Aleksey Timin																												
			method (subst.) 		metodo	KompLeks	TekVort	Bertin							de	methode								méthode								Methode			
			metropolitan area network (subst.) 		urbega reto	Maŭro																													
			microbrowser (subst.) 		mikrofoliumilo																		un	micronavigateur Web		office québécois de la langue française									
			microcomputer   (subst.) 		mikrokomputilo	TekVort																													
			microphone (subst.) 		mikrofono										de	microfoon	100%	Van Dale																	
			microprocessor (subst.) 		mikroprocesoro	Bertin	TekVort			mikroprocezilo						microprocessor								microprocesseur								Mikroprozessor			
			microprogram   (subst.) 		mikroprogramo	TekVort																													
			microprogramming   (subst.) 		mikroprogramado	TekVort																													
			middle tier (subst.) 		meza nivelo											middelste laag								niveau intermédiaire								mittlere Ebene			
			middleware (subst.) 		meza programaro										de	middleware			Wikipedia					intergiciel								Middleware			
			mid-range (adj.) 		mezkvalita										het	middensegment van de markt	80%		tweakers.net																
			migrate (data) (verbo) 		migrigi	Maŭro				strukture transmeti						migreren								migrer								migrieren			
			migration (data) (subst.) 		migrigado	Maŭro				struktura transmetado de datumoj						migratie																			
			milestone (subst.) 		mejloŝtono / mejlosxtono																			jalon								Meilenstein			
			MIME encoding (mallon.) 		MIME-kodado	Maŭro																													
			MIME type (internet media type) (subst.) 		MIME-tipo																														
			MIME version (subst.) 		MIME-versio	Maŭro																													
			mimic (verbo) 		imiti																														
			minimal (adj.) 		minimuma					plejeta	Bertin					minimaal								minimale											
			minimize (verbo) 		plejetigi	Bertin	Firefox			minimumigi	OOo	KDE				minimaliseren								réduire								minimieren			
			minor (adj.) 		kroma					neĉefa	Bertin																								
			minor grid (subst.) 		kroma krado																														
			minor interval (subst.) 		kroma intervalo	OOo																													
			minor mode (subst.) 		kromreĝimo / kromregximo	KompLeks																													
			minus (subst.) 		minuso	ReVo																													
			minuscule (subst.) 		etlitero	KompLeks	Aleksey Timin			minusklo																									
			minutes (meeting) (subst.) 		protokolo	Edmundo									het	verslag (van de vergadering)	100%																		
			mirror (verbo) 		speguli	OOo										spiegelen	80%							miroter								spiegeln			
			mirror drive (subst.) 		spegulo (de disko)											spiegelschijf	60%																		
			mirror plate (subst.) 		spegulplato	Bertin																													
			mirror site (subst.) 		spegulo (de retpaĝo aŭ retejo) / spegulo (de retpagxo aux retejo)										de	spiegelsite	60%				mirrorsite		un	serveur miroir											
			miscellanious (adj.) 		diversa	OOo	Bertin																												
			miscellanious (subst.) 		diversaĵoj / diversajxoj	OOo																													
			mismatch (subst.) 		miskongruo										de	verkeerde combinatie	100%																		
			miss (subst.) 		maltrafo	Drupalo																													
			mission statement (subst.) 		celaro																														
			mission-critical (adj.) 																																
			mistype (verbo) 		mistajpi	Bertin																													
			mixed case (subst.) 		miksuskla	KompLeks	KDE																												
			mixed mode (subst.) 		miksita reĝimo / miksita regximo											gemengde modus								mode mixte								gemischter Modus			
			mnemonic (subst.) 		memoriga helpilo	Lode VDV				mnemoniko					het	ezelsbruggetje																			
			mnemonic symbol (subst.) 		memoriga simbolo					mnemonika simbolo	KompLeks	Aleksey Timin																							
			mobile app (subst.) 		poŝkomputila aplikaĵo / posxkomputila aplikajxo										de	mobiele toepassing																			
			mobile computing device (subst.) 		portkomputilo											mobiele computer								appareil mobile								mobiles Gerät			
			mobile device (subst.) 		portebla aparato											mobiel apparaat								appareil mobile								mobiles Gerät			
			mockup (mock-up) (subst.) 		prototipo											prototype								maquette											
			modal dialog (subst.) 													modaal dialoogvenster								boîte de dialogue modale								modaler Dialog			
			modal window (subst.) 																																
			modality (subst.) 													modaliteit																Modalität			
			modchip (subst.) 																																
			mode (mode of operation) (subst.) 		reĝimo / regximo	KompLeks	OOo	KDE	Bertin						de	modus	100%							mode								Modus			
			model (subst.) 		modelo	KompLeks	TekVort									model								modèle								Modell			
			modeless (adj.) 		senreĝima / senregxima	VIM										zonder modus								non modal								ohne Modus			
			modelling (model-building) (subst.) 		modelado	KompLeks																													
			modem (subst.) 		modemo	PIV2002	KompLeks	KompList							de	modem	100%	Van Dale					un	modem								Modem			
			modem compression (subst.) 		modemodensigo											modemcompressie								compression par modem								Modemkomprimierung			
			modem server (subst.) 		modemoservilo											modemserver																Modemserver			
			moderated chat (subst.) 		retbabilado kontrolata																		un	bavardage modéré											
			moderated group (subst.) 		kontrolata grupo	Ipernity																													
			moderator (meeting) (subst.) 		kunvenestro	OOo									de	moderator	100%																		
			moderator (website) (subst.) 		kontrolanto	Ipernity																	un	modérateur		office québécois de la langue française									
			modifier (subst.) 		modifilo	Bertin																													
			modifier key (subst.) 		modifa klavo	KDE										wijzigingstoets								touche de modification								Zusatztaste			
			modify (verbo) 		modifi	OOo										aanpassen	100%																		
			modular (subst.) 		modula	KompLeks										modulair	100%	Telenet																	
			modular programming   (subst.) 		moduleca programado	Bertin				modulema programado																									
			modulate (verbo) 		moduli	Bertin																													
			modulation (subst.) 		modulado	Bertin																													
			module (subst.) 		modulo	KompLeks	ReVo	OOo	KDE						de	module	100%																		
			modulus (subst.) 		absoluta valoro	KompLeks	Aleksey Timin																												
			modus ponens (subst.) 		elimplikaciigo	KompLeks	Aleksey Timin																												
			monadic (subst.) 		unuloka	KompLeks	Aleksey Timin																												
			monitor (subst.) 		ekrano					monitoro	KompLeks	Bertin			het	monitor								moniteur								Monitor			
			monitoring (subst.) 		observado					monitorado					de	(proces)bewaking	80%	Stichting																	
			monitoring software (subst.) 		observa programaro					monitora programaro						controlesoftware								logiciel de surveillance								Überwachungssoftware			
			monitoring system (subst.) 		observa sistemo					monitora sistemo					het	volgsysteem	80%	Stichting																	
			monkey testing (subst.) 		nestrukturita testado																														
			monochrome (adj.) 		unukolora											monochroom								monochrome								monochrom			
			monochrome monitor (subst.) 		unukolora ekrano					unukolora monitoro						monochrome monitor																Schwarzweißbildschirm			
			monoid (subst.) 		monojdo	KompLeks	Aleksey Timin																												
			monolithic driver (subst.) 		unupeca pelilo											monolithisch stuurprogramma								pilote monolithique								monolithischer Treiber			
			monospaced (adj.) 		egallarĝa / egallargxa	KompLeks	TekVort			egalinterspaca	Lode VDV																								
			more (adj.) 		pli											meer								plus								weitere			
			morphism (subst.) 		morfio	KompLeks	Aleksey Timin																												
			motherboard (mother board, system board) (subst.) 		ĉeftabulo / cxeftabulo	Vikipedio				ĉefkarto	KompLeks				het	moederbord	100%	Stichting						carte mère								Hauptplatine			
			motion path (subst.) 		movovojo	Maŭro										animatiepad								trajectoire								Bewegungspfad			
			mount (subst.) 		surmeto											koppeling								montage											
			mount (a file system) (verbo) 		surmeti (dosiersistemon)	KompLeks	ReVo	KDE								koppelen								monter								bereitstellen			
			mount point (mountpoint) (subst.) 		surmetingo	KompLeks	KDE									koppelpunt								point de montage								Bereitstellungspunkt			
			mounted drive (subst.) 		muntita diskilo											gekoppeld station								lecteur monté								bereitgestelltes Laufwerk			
			mounted file system (subst.) 		muntita dosiersistemo											gekoppeld bestandssysteem								système de fichiers monté								bereitgestelltes Dateisystem			
			mouse (subst.) 		muso	PIV2002	KompLeks	ReVo	TekVort						de	muis								souris								Maus			
			mouse button (subst.) 		musklavo					musbutono					de	muisknop	100%							bouton de souris								Maustaste			
			mouse click (subst.) 		musklako											muisklik								clic de souris								Mausklick			
			mouse cursor (subst.) 		musmontrilo	KompList				muskursoro	KDE				de	(muis)aanwijzer	100%	VW																	
			mouse icon (subst.) 		mussimbolo											muispictogram																Maussymbol			
			mouse keys (subst.) 		musklavoj	KDE										muistoetsen								touches souris								Tastaturmaus			
			mouse pad (subst.) 		musmato	KompLeks	Vikipedio	TekVort							de	muismat	100%	Taalunie																	
			mouse pointer (subst.) 		musmontrilo					muskursoro	KompLeks				de	muisaanwijzer	100%																		
			mouse shortcut (subst.) 		muskomando										de	muissneltoets								raccourci souris								Mausverfahren			
			mouseover (mouse hover, hover box) (subst.) 																																
			move (verbo) 		movi	KompLeks	Bertin	TekVort		deloki	Notepad++					verplaatsen	100%							déplacer								verschieben			
			move back   (verbo) 		malantaŭenigi / malantauxenigi	TekVort																													
			move handle (subst.) 		movostirilo											verplaatsgrijppunt								poignée de déplacement								Ziehpunkt			
			movie file (subst.) 		filmodosiero											filmbestand								fichier vidéo								Filmdatei			
			moving average (subst.) 		moviĝanta meznombro / movigxanta meznombro	Edmundo										zwevend gemiddelde								moyenne mobile								gleitender Durchschnitt			
			moving border (subst.) 		moviĝanta bordero / movigxanta bordero	Maŭro										knipperende rand								bordure clignotante								Laufrahmen			
			MP3 player (subst.) 		MP3-ludilo										de	MP3-speler	100%																		
			multi-access (adj.) 		pluratinga	KompBaz																													
			multibank memory (subst.) 		ŝaktabula memoro / sxaktabula memoro	KompLeks	Aleksey Timin																												
			multiboot (subst.) 		plurŝargado / plursxargado																														
			multi-byte character set (multibyte character set) (subst.) 		plurbajta kodoprezento											multibyte-tekenreeks								jeu de caractères multioctets								Multibyte-Zeichensatz			
			multi-byte encoding (multibyte encoding) (subst.) 		plurbajta kodoprezento	Vim																													
			multicast (verbo) 		plurelsendi											multicast								multidiffusion								Multicast			
			multi-channel (multichannel) (adj.) 		plurkanala	Bertin																													
			multichannel audio (subst.) 		plurkanala sono											meerkanaals geluid								audio multicanal								Mehrkanalaudio			
			multi-core (subst.) 		plurkerna																														
			multidrop (verbo) 																																
			multi-function (adj.) 		plurfunkcia	Bertin																													
			multigraph (subst.) 		grafeo	KompLeks	Aleksey Timin			plurgrafeo																									
			multihoming (subst.) 		plurhejmado																														
			multi-hosting (subst.) 		plurgastigado											multihosting																Multihosting			
			multileg (subst.) 													meerdelig																bilateral			
			multilevel (adj.) 		plurpaŝa / plurpasxa																														
			multilevel incremental backup (subst.) 		plurpaŝa alkrementa savkopio / plurpasxa alkrementa savkopio					plurpaŝa alkrementa sekurkopio																									
			multilevel undo (subst.) 		plurpaŝa malfaro / plurpasxa malfaro											meerdere niveaus ongedaan maken								annulation sur plusieurs niveaux								Rücksetzen mehrerer Befehle			
			multi-line (multiline) (adj.) 		plurlinia																														
			multi-line input (multiline input) (subst.) 		plurlinia enigo	OOo																													
			multilinear form (subst.) 		plurlineara funkcio	KompLeks	Aleksey Timin																												
			multimedia (adj.) 		plurmedia					multkomunikila	Edmundo																								
			multimedia (subst.) 		plurmedio	Vikipedio										multimedia								multimédia								Multimedia			
			multimedia file (subst.) 		plurmedia dosiero	KompLeks	KompList								het	multimedia-bestand	100%						un	fichier multimédia											
			multimedia player (subst.) 		plurmedia ludilo	KDE																													
			multipart (adj.) 		plurparta	OOo																													
			multi-pass compiler (subst.) 		plurpasa kompililo																														
			multi-pass rendering (subst.) 		plurpasa bildigo																														
			multipathing (subst.) 		plurvojigado											meerdere paden gebruiken																Multipfad			
			multiple (adj.) 		pluropa	Drupalo				pluraj	OOo																								
			multiple address instruction (subst.) 		pluradresa instrukcio	Bertin																													
			multiple bit rate (subst.) 		plur-bitrapida	Maŭro										meerdere bitsnelheden								à plusieurs vitesses de transmission								Mehrfachbitrate			
			multiple boot (subst.) 		plurŝargado / plursxargado																			démarrage multiple								Multiboot			
			multiple select (subst.) 		pluropa elekto	Drupalo																													
			multiple selection (subst.) 		pluropa elekto											meervoudige selectie								sélection multiple								Mehrfachauswahl			
			multiple-choice (adj.) 		plur-elekta	Maŭro																													
			multiplex (multiplexer) (subst.) 		kunigilo	LiberaProg				multipleksoro	PIV2002	Edmundo	plektilo	PIV2002		multiplexer								multiplexeur								Multiplexer			
			multiplexing (subst.) 		kunigado											multiplexing								multiplexage								Multiplexing			
			multiplication (subst.) 		obligo					multipliko	KompLeks	Aleksey Timin																							
			multiplicative group (subst.) 		obliga grupo					multiplika grupo	KompLeks	Aleksey Timin																							
			multiplying operator (subst.) 		obliga simbolo					multiplikeska simbolo	KompLeks	Aleksey Timin																							
			multiplication sign (subst.) 		obligo-signo											vermenigvuldigingsteken								signe de multiplication								Multiplikationszeichen			
